,Zotero link,DOI,ID,Citation,OA status,Citation_list,First_citation_year,Last_citation_year,Publication_year,OA_link,Year_difference
0,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/52NXPRY8,10.1080/08850607.2025.2474388,https://openalex.org/W4416862355,0,False,,,,2025,,
1,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/2ADQ3G4U,10.31599/krtha.v19i3.4528,,,,,,,,,
2,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/NXG4HFHD,10.1080/01402390.2025.2495294,https://openalex.org/W4416663866,0,False,,,,2025,,
3,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/R8DTYVA6,10.4236/oalib.1114179,https://openalex.org/W7092212778,0,True,,,,2025,https://doi.org/10.4236/oalib.1114179,
4,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/MV2M9DCS,10.1080/13518046.2025.2585666,https://openalex.org/W7104731467,0,False,,,,2025,,
5,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ZIHECKNC,10.1080/08850607.2025.2578461,https://openalex.org/W4416074445,0,False,,,,2025,,
6,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/UN5CFQLK,10.37458/nstf.26.2.5,https://openalex.org/W4415570225,0,True,,,,2025,https://doi.org/10.37458/nstf.26.2.5,
7,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/Y33IBX3S,10.1080/02684527.2025.2576903,https://openalex.org/W4415983162,0,True,,,,2025,https://doi.org/10.1080/02684527.2025.2576903,
8,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/B7VRVYW5,10.4236/ojps.2025.154051,https://openalex.org/W4415372906,0,True,,,,2025,https://www.scirp.org/pdf/ojps_1672654.pdf,
9,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JK4A29MU,10.3917/efrc.252.0206,https://openalex.org/W4415733722,0,False,,,,2025,,
10,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/2WW8HHC3,10.1080/08850607.2025.2453721,https://openalex.org/W4409963494,0,False,,,,2025,,
11,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JR8G5P9I,10.1080/09615768.2025.2568249,https://openalex.org/W4415570287,0,False,,,,2025,,
12,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VJKPXLJ4,10.1080/08850607.2025.2574292,https://openalex.org/W4415599667,0,False,,,,2025,,
13,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/DKSXF3YG,10.1080/08850607.2025.2571497,https://openalex.org/W4415516500,0,True,,,,2025,https://doi.org/10.1080/08850607.2025.2571497,
14,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/MBVL2JIS,10.1007/978-3-031-97115-0_5,https://openalex.org/W4412817944,1,False,https://openalex.org/works?filter=cites:W4412817944,2025,2025,2025,,0
15,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/2DASGBSU,10.1017/eso.2025.10100,https://openalex.org/W4415464468,1,True,https://openalex.org/works?filter=cites:W4415464468,2025,2025,2025,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9C2EABB38292FB04D6D6DD788E42D753/S1467222725101006a.pdf/div-class-title-the-firm-the-bank-and-the-family-military-intelligence-and-the-wallenbergs-in-sweden-s-cold-war-div.pdf,0
16,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/EMMVNJ5I,10.1007/s12108-025-09670-6,,,,,,,,,
17,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/2SIZCI76,10.1177/13540661251379635,,,,,,,,,
18,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/7FUSAYX8,10.31857/S2949124X25030114,,,,,,,,,
19,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/TBKA8IIR,10.1080/02684527.2025.2565946,,,,,,,,,
20,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/KBE62YNW,10.1080/08850607.2025.2571875,,,,,,,,,
21,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/W439USTL,10.1080/00263206.2025.2571121,,,,,,,,,
22,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/3WVYKGY5,10.70531/2474-2295.1069,https://openalex.org/W4415338391,0,True,,,,2025,https://scholarship.shu.edu/cgi/viewcontent.cgi?article=1069&context=pa,
23,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/UAVUH9DD,10.1080/02684527.2025.2565939,,,,,,,,,
24,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/EHMZ4S2B,10.1080/02684527.2025.2573607,,,,,,,,,
25,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JUSQR77M,10.48009/3_iis_2025_2025_106,https://openalex.org/W4414196180,0,True,,,,2025,https://doi.org/10.48009/3_iis_2025_2025_106,
26,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/SGHX9V4H,10.1080/08850607.2025.2571503,,,,,,,,,
27,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/93XHUD84,10.1080/08850607.2025.2571879,,,,,,,,,
28,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VWYQRX6T,10.53477/2284-9378-25-46,,,,,,,,,
29,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/TYICMRAM,10.1080/02684527.2025.2565947,https://openalex.org/W4415080446,0,False,,,,2025,,
30,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/KUIAUWYB,10.1080/02684527.2025.2568886,,,,,,,,,
31,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/LZ9XI4HA,10.1080/02684527.2025.2565944,,,,,,,,,
32,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/S69F5CGD,10.1080/02684527.2025.2565943,https://openalex.org/W4415000505,1,False,https://openalex.org/works?filter=cites:W4415000505,2025,2025,2025,,0
33,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/DLXFRIU8,10.1080/02684527.2025.2565954,,,,,,,,,
34,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/WAEPJA3N,10.51255/2311–603X_2025_3_122,,,,,,,,,
35,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/V28QA3VI,10.1177/09715215251351228,https://openalex.org/W4414887802,0,False,,,,2025,,
36,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/FYLFRTN7,10.48009/3_iis_2025_2025_105,,,,,,,,,
37,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/E2R2GVBG,10.1080/02684527.2025.2565951,,,,,,,,,
38,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/YKB3C6BB,10.1080/02684527.2025.2566826,,,,,,,,,
39,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HQQVQ4FX,10.1111/area.70059,https://openalex.org/W4414678590,0,True,,,,2025,https://doi.org/10.1111/area.70059,
40,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/W2EGVW3X,10.1080/02684527.2025.2565952,,,,,,,,,
41,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/PP3AU8KD,10.1080/02684527.2025.2565551,https://openalex.org/W4414613349,0,False,,,,2025,,
42,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/EJICS3R2,10.1080/02684527.2025.2565950,,,,,,,,,
43,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/5YHGRJYS,10.1080/02684527.2025.2561505,,,,,,,,,
44,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/KS7NUVUX,10.1177/29768640251377941,,,,,,,,,
45,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/A27VN9HN,10.1080/08850607.2025.2562843,https://openalex.org/W4414542291,0,False,,,,2025,,
46,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/G8QGGYG3,10.52058/2786-5274-2025-9(49)-924-936,,,,,,,,,
47,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/3SRAV3VU,10.1080/03075079.2025.2556211,,,,,,,,,
48,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/RS9PHUU3,10.33774/apsa-2025-7pd03,https://openalex.org/W4414467087,0,True,,,,2025,https://preprints.apsanet.org/engage/api-gateway/apsa/assets/orp/resource/item/68ca4ca09008f1a4670e0c10/original/inception-in-narrative-engineering-in-intelligence-and-geopolitics.pdf,
49,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/NGN4CBF8,10.1080/09592318.2025.2555583,,,,,,,,,
50,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HBLAKFDL,10.55981/aij.2025.1426,,,,,,,,,
51,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/42XJXU3D,10.22541/au.175795666.64193305/v1,,,,,,,,,
52,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ABBG4IG3,10.1080/09592296.2025.2533022,https://openalex.org/W7082986344,0,False,,,,2025,,
53,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/5WMVTCZU,10.22034/hsow.2025.2059684.1611,,,,,,,,,
54,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JK9QYL2K,10.1080/09615768.2025.2542014,,,,,,,,,
55,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ZLQEWY5Q,10.70710/sitj.v2i3.65,https://openalex.org/W4414164067,0,True,,,,2025,https://sitjournal.com/sitj/article/download/65/49,
56,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ZGLURBCZ,10.70710/sitj.v2i3.63,,,,,,,,,
57,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/X4QSYW5J,10.21776/ub.jgf.2025.005.01.5,,,,,,,,,
58,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/48WXIWW6,10.1080/02684527.2025.2552082,https://openalex.org/W4413997187,0,False,,,,2025,,
59,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JEWH9Y7Q,10.1080/01402390.2025.2549321,,,,,,,,,
60,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/DF78GBA3,10.1080/18335330.2025.2550997,,,,,,,,,
61,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/E34WGJAN,10.1080/16161262.2025.2553069,,,,,,,,,
62,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/5RJYCMMR,10.1080/08850607.2024.2431558,https://openalex.org/W4413865131,0,True,,,,2025,https://www.tandfonline.com/doi/pdf/10.1080/08850607.2024.2431558?needAccess=true,
63,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/EL8BMJIE,10.1080/02684527.2025.2548157,,,,,,,,,
64,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/J37F37HF,10.25602/GOLD.bjmh.v11i2.1892,,,,,,,,,
65,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/R6QVAWFT,10.1080/02684527.2025.2546247,https://openalex.org/W4413766319,0,True,,,,2025,https://www.tandfonline.com/doi/pdf/10.1080/02684527.2025.2546247?needAccess=true,
66,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/KM75LZLR,10.33327/AJEE-18-8.3-a000118,,,,,,,,,
67,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/GSP8ITE7,10.1080/02684527.2025.2546249,,,,,,,,,
68,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/P6Z92AVB,10.1080/02684527.2025.2544460,https://openalex.org/W4413450062,0,True,,,,2025,https://www.tandfonline.com/doi/pdf/10.1080/02684527.2025.2544460?needAccess=true,
69,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/P7C34CJC,10.1080/02684527.2025.2546248,,,,,,,,,
70,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/SE6QR6J2,10.1080/00253359.2025.2527479,,,,,,,,,
71,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/PG3UCZG5,10.12775/SDR.2024.EN8.04,,,,,,,,,
72,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/8VF9QH5G,10.48550/arXiv.2409.01052,https://openalex.org/W4402954309,0,True,,,,2024,https://arxiv.org/pdf/2409.01052,
73,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HQMQIQY6,10.1080/07075332.2024.2323499,,,,,,,,,
74,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HUSPSFKX,10.1017/S1816383124000584,,,,,,,,,
75,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/WB33LBIV,10.5281/zenodo.15322573,https://openalex.org/W6930625144,0,True,,,,2025,https://doi.org/10.5281/zenodo.15322573,
76,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/WK5FAHYB,10.1080/08850607.2025.2527107,,,,,,,,,
77,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/A7GY242R,10.1080/08850607.2025.2544057,,,,,,,,,
78,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/SS3V3P9L,10.37458/nstf.26.2.2,https://openalex.org/W4412729854,0,True,,,,2025,https://doi.org/10.37458/nstf.26.2.2,
79,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/B2S6SEWS,10.4467/20801335PBW.25.015.22181,,,,,,,,,
80,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/X38PXRYP,10.32561/nsz.2025.2.1,,,,,,,,,
81,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/MGV8Q7N4,10.1080/08850607.2025.2528105,,,,,,,,,
