Country,Count
United States,794
UK,515
Russia,205
Israel,185
Ukraine,159
Japan,125
Australia,112
China,104
Germany,91
Oman,88
India,76
Canada,75
Iraq,73
France,55
Cuba,45
Ireland,40
Romania,35
Brazil,31
Egypt,30
South Africa,27
Afghanistan,25
Pakistan,25
New Zealand,22
United Kingdom,22
Indonesia,21
Spain,20
Sweden,18
Bangladesh,18
Slovakia,17
Mali,17
Austria,16
Niger,16
Netherlands,16
Italy,16
Poland,16
Nigeria,15
Norway,14
Greece,14
Mexico,13
Albania,12
Colombia,11
Chile,11
Denmark,11
Cyprus,10
Lebanon,10
Sudan,9
Congo,9
Yemen,8
Singapore,8
Peru,7
Kenya,7
Bulgaria,7
Switzerland,7
Algeria,7
Portugal,6
Libya,6
Ghana,6
Argentina,6
Jordan,6
Finland,6
Myanmar,6
Belgium,6
Hong Kong,6
Thailand,5
Georgia,5
Serbia,5
Morocco,5
Uganda,5
Somalia,5
Sri Lanka,5
South Sudan,4
Guatemala,4
Guinea,4
Hungary,4
Ecuador,4
Latvia,4
Tunisia,4
Türkiye,4
Saudi Arabia,4
Bosnia and Herzegovina,4
Lithuania,4
Gibraltar,3
Cambodia,3
Estonia,3
Malaysia,3
Angola,3
Kuwait,3
Mozambique,3
Haiti,3
Philippines,2
Ethiopia,2
Namibia,2
Madagascar,2
Dominica,2
Bahamas,2
Zimbabwe,2
Uruguay,2
Rwanda,2
Armenia,2
Costa Rica,2
Croatia,2
Slovenia,2
Botswana,2
El Salvador,2
Maldives,2
Nepal,2
Zambia,1
Burkina Faso,1
Belarus,1
Azerbaijan,1
Bhutan,1
Mongolia,1
Tajikistan,1
Kazakhstan,1
Benin,1
Nicaragua,1
Malta,1
Antarctica,1
North Macedonia,1
Dominican Republic,1
British Indian Ocean Territory,1
Cabo Verde,1
Burundi,1
Guinea-Bissau,1
Togo,1
Sierra Leone,1
Seychelles,1
Senegal,1
Mauritius,1
Mauritania,1
Paraguay,1
Lesotho,1
Gambia,1
Cameroon,1
Gabon,1
Jamaica,1
Eswatini,1
Eritrea,1
Equatorial Guinea,1
Comoros,1
Chad,1
Central African Republic,1
United Arab Emirates,1
